phrase,tsne_0,tsne_1,label
data encryption standard,4.108761451095747,-0.013342522755920752,cs
data mining,7.552420180740211,-0.5351983378665854,cs
data model,3.5520035112000152,-2.515787224753804,cs
data modeling,5.293126240585276,-2.6284331160553718,cs
data objects,3.5634035793602807,-2.3025305122149544,cs
data set,1.6130074200267286,-2.5716962301362343,cs
data sets,2.0768841069168498,-2.0188391955556035,cs
data sparsity,3.277354153452041,1.0883335033843644,cs
data storage,4.360773285456401,-1.426646816961116,cs
data stream clustering,5.661678024475945,-1.6238552217836044,cs
data streaming algorithms,5.604274088678288,-2.9122274423298675,cs
data structures,4.5769327531076724,-2.6286080074452722,cs
data visualization,4.98418989859412,-3.3436603222551646,cs
data warehouse,6.283529119618284,-1.1587378752300994,cs
database columns,6.445916550315766,-0.35446852156191894,cs
database dumps,5.92989950621839,6.779428962136778,cs
database model,7.5744129431324,-1.585856318717756,cs
database normalization,4.439483187847618,-1.7165362453242463,cs
database relation,5.854294287244585,-1.7306427839593845,cs
database systems,7.983460308836828,-1.8199616922860724,cs
database table,6.4804256979301,-0.9309528856081293,cs
database tuning,6.4514240851663365,-1.5635976497424346,cs
de morgan's law,1.1602342486664725,0.609599208814862,cs
decimal computers,3.6313010762440974,5.8488517276905325,cs
decision boundaries,-0.33830469997148865,-0.7524970371531403,cs
decision boundary,-0.3809697183174626,-0.8537027157882321,cs
decision making problems,-0.05769196263365642,2.874627242361766,cs
decision network,1.464919839805431,-1.346762174821196,cs
decision tree technique,2.902677104625546,0.07896050999461648,cs
decision trees,1.1426978377408188,0.0338667715328413,cs
decompressed data,1.371281595671251,6.680136291762428,cs
deep learning,-1.6994667359483826,-3.742307339505162,cs
deep neural networks,4.499190049295496,-2.2777990934382344,cs
deep reinforcement learning,0.7756690447078796,-3.482311781337114,cs
delay-tolerant networking,0.6222473394857846,1.8579445831821837,cs
description logics,3.8213854179203945,-1.106173348352647,cs
descriptive statistics,0.7947892054707373,2.106312255752956,cs
desktop computers,5.852878591105348,0.8091318196629257,cs
deterministic algorithm,1.486449286727818,1.3797208059307569,cs
deterministic encryption,1.9473787313030346,1.9390736998274154,cs
deterministic encryption scheme,2.767764629437671,2.0229526746238076,cs
deterministic encryption schemes,3.3580721559932902,1.8131186173639438,cs
deterministic global optimization,3.050323659571287,-1.0759057236725729,cs
differentiable function,-0.9386329077632507,5.044988696266822,cs
differential calculus,5.203981474205948,3.1567169132473745,cs
differential equations,3.1688864955327722,1.7450728333276497,cs
digital data,1.8930810855541385,0.8095383822366234,cs
digital filter,1.1491682018934677,2.7826790086269186,cs
digital filters,1.955684044269967,2.2247383861013366,cs
digital information,1.6115629275139625,-0.306135407538996,cs
digital signal,0.1769995715325103,1.3750898105155969,cs
digital signatures,2.320874862376097,0.9059123404572152,cs
dimensional space,1.014561230404029,0.29454194552017254,cs
directed acyclic graph,3.3576144274568,-0.8200756954211547,cs
discrete time recurrent neural networks,1.9970624047299996,2.60815517625413,cs
discriminant function analysis,1.522357458367916,3.521720038137437,cs
distance metric,-0.19815442283946158,0.34453836877735844,cs
distance metric learning,2.8807853547912883,-0.06682558045512219,cs
distributed algorithms,2.2241709711779136,2.2703072350500784,cs
distributed application,1.3436088540653444,1.062290052896967,cs
distributed application architecture,4.292524631223334,0.08438402646295962,cs
distributed artificial intelligence,5.764348017151033,1.416366483546561,cs
distributed artificial intelligence systems,7.2341189148468015,0.5640491024427555,cs
distributed computing,5.136614235427699,0.30536948693748456,cs
distributed computing environment,6.003025204513241,-0.7705864325976591,cs
distributed data stores,2.4386448382091026,-0.4663565211568605,cs
distributed information processing,3.0313428795072985,-0.7233945652435527,cs
distributed object communication,3.3064877591834696,-0.008870425441673739,cs
distributed search,0.8302037694316211,1.4177108055729315,cs
distribution-based clustering,2.7435234226002128,-0.21731779164805937,cs
double-ended priority queue,-0.5282095265036474,6.840898495388464,cs
doubly linked list,-1.5575495561186377,-0.4530405556460565,cs
dynamic array,0.8672595083116326,-1.9233220256841714,cs
dynamic compilation,-1.829079186307033,-1.8791028037314093,cs
dynamic prefetched arrays,1.5096564645799468,-1.3308009450204108,cs
dynamic table,-1.1713774740219567,-3.4461712939228124,cs
dynamically allocated array,3.0283215663077705,-3.05649019182068,cs
ecb mode,0.20065162112507234,-0.7281301189852631,cs
edge contraction,-2.309205261250914,0.5533673082173487,cs
eigenmode expansion,1.8786972298938005,-0.8249823249489189,cs
eigenvalue algorithm,4.030743486055023,-0.27185976724625555,cs
electronic signature,1.6872807942797121,-0.3273394501468122,cs
electronic signatures,3.389819643058232,-0.3070474133036431,cs
embedded data,1.7198087630128849,-2.392486910520314,cs
empty set,-3.79563531194125,10.316420059009369,cs
encrypted data,3.737503689405091,1.5409182562890122,cs
encryption algorithm,2.9880631031114877,1.500405886523415,cs
encryption keys,3.3029207899003326,1.9091477000327834,cs
enhanced double hashing,0.21077373878003852,0.1288027156508787,cs
ensemble learning method,1.3531404718473594,-1.575569044897679,cs
error detection,0.36509862784715985,5.697896503832633,cs
error message,-0.10511469895574428,7.524761390987766,cs
euclidean distance,-0.5380265616946721,2.2874273020485503,cs
euclidean space,0.9744943700319206,1.46959602417458,cs
evolutionary computation,2.4077384951791863,-2.8581479883326217,cs
explicit regression gradient boosting algorithms,1.3948882863677772,-3.202299878968915,cs
exponential convergence,-1.1727879526332488,-2.588814449925217,cs
external node,-0.273955701911279,3.115868272068337,cs
fast fourier transform,1.2525882330019558,1.2651393066737895,cs
feature detection,0.7691093316106656,-2.236635321945575,cs
feature learning,1.6175832848025165,-2.8306301431556196,cs
feature maps,0.2984204083235937,-1.510962745995976,cs
feature oriented programming,0.18562521928800038,-3.71172287711555,cs
feedback connections,2.20998070995313,-1.7878672175367725,cs
feedforward neural network,4.531721161387629,-2.29746668715771,cs
file overwrites,4.116066901359411,3.602837975285565,cs
finite element methods,0.9266206650602214,3.1393141598441807,cs
finite graph,-0.7340650040816121,7.316354332890545,cs
first-order reduction,-1.3279048398878772,4.356608353500159,cs
fitts's law,-0.9369806161785852,-0.15404858298281165,cs
flux architecture,2.291829457457398,2.8282373398703338,cs
formal knowledge representation languages,2.3951070427280308,-3.6121866939319682,cs
formal language theory,3.0407889781546493,-1.7084606841264123,cs
fully connected layers,-5.4123647049839985,-4.28558505483494,cs
fully recurrent neural networks,-0.5158121594109322,-3.214929152162788,cs
function interaction,0.9464637766031133,-3.242498123140064,cs
function join,1.7844795899617205,-3.0557957473438933,cs
functional analysis,2.2700273998194294,-2.586737031737841,cs
functional architecture,0.11520046004935858,-3.426012051064856,cs
fuzzy class,1.0786887796439777,6.405563172391884,cs
fuzzy classification,-1.8316315540358388,7.1663566139849975,cs
fuzzy classification predicate,1.0758915205895343,4.359520190532806,cs
fuzzy description logics,1.8766837322186434,7.087273302391948,cs
fuzzy markup language,0.8639936214440853,5.327846747955265,cs
fuzzy propositional function,0.3022847584628139,6.837086843559822,cs
fuzzy set,-2.71546555913722,3.939565334775182,cs
fuzzy sets,-2.0918425681933117,4.960674005660346,cs
gaming systems,3.2130061600940163,-0.9091650622610921,cs
garbage collection,2.1794245721195082,5.483158986492581,cs
gated recurrent units,-0.7899027377642652,-0.08858046514519852,cs
gaussian elimination,0.020595423457591654,6.583363465286633,cs
gene analysis,5.478299432102528,-1.8481878664565803,cs
general-purpose language,-2.5453370877787003,-2.912048973072706,cs
generalised loop splitting,1.1971866401296543,1.7504032524907993,cs
generalized additive models,-0.09964458850637319,1.580705339099946,cs
generative adversarial networks,1.726518216584869,2.7089122530026777,cs
generative model,1.1494105444089435,-0.7392846947607538,cs
generative models,1.1945145522739802,-1.2973032052757292,cs
generic programming,-0.8097944888386501,7.672790619665922,cs
genetic representation,2.9084094598956978,-2.3504504738243237,cs
genetic representations,2.8718919110483085,-1.937941367982971,cs
gibbs sampling,-0.5876792627817119,1.296076025094502,cs
global minimum,-1.4508549345561559,2.1147847882372175,cs
global solutions,0.264540333048305,-4.105683503936357,cs
global view,0.3053169251940903,-2.3009036754856678,cs
golay code,1.209697946281717,-0.042439806267723125,cs
gompertz curve,1.1847732563299223,0.6673072616309351,cs
gradient boosted trees,-0.9686108295811656,-1.5634520131470455,cs
gradient boosting,0.0014506483774998906,-2.9137501016556575,cs
gradient boosting algorithms,2.619206946167409,-2.4287390815639602,cs
gradient descent,-0.7263367988161264,1.3636212053118804,cs
graph algorithms,5.732180489917816,-0.1011814664906677,cs
graph embedding,6.615251770071375,-0.9428789620378424,cs
graph isomorphism,6.154408766740318,-0.2130879754152249,cs
graph minor theory,4.516622025126493,3.922978467232049,cs
graph theory,6.596167967471217,0.3815110800665842,cs
graphic design,2.3854610666507354,-2.5564735032321333,cs
graphic representation,-0.09885675787556034,-2.9717838908629597,cs
graphical program elements,3.0660906092029148,-2.774846288151755,cs
graphics system,3.655698158672831,-1.5995138853130586,cs
hadamard product,-1.7475386801851824,-0.0770677935159328,cs
handwriting recognition,2.2625269495536977,0.10226742781172965,cs
hardware description language,5.445182817801123,-2.010238749096983,cs
hardware links,3.607476579356602,-2.335050980352382,cs
hardware technologies,2.7885366823487794,-2.396658934650771,cs
hash functions,4.566369805666967,2.1679935317980297,cs
hash tables,2.3073191178355077,4.523639124180761,cs
hashing problem,1.4590866042539508,6.339860557072641,cs
hebbian learning,0.5684509277462721,-0.5442174877700368,cs
helmholtz machine,2.620243048699237,-0.15598392773969202,cs
helmholtz machines,2.5208035105230464,-0.10155384155281659,cs
heterogeneous networks,0.454715397531048,2.073039924989927,cs
hidden layer,-1.182474080151025,7.657863374960154,cs
hidden layers,-1.5039757144720374,7.4145853859476905,cs
hilbert spaces,2.9453866128042776,1.1410325999105109,cs
hopfield learning rule,1.0672735154941686,-0.791064692322245,cs
huffman coding,1.603551339063186,0.9204768778559878,cs
human-centered computing,4.332234174333715,-4.1577535291356575,cs
humancomputer interaction,6.235096460675447,-3.2117593838713687,cs
hurwitz stable,-2.3058155832657636,-0.4507450006728041,cs
identity matrix,2.1823226032161442,-0.743914504980979,cs
image file formats,2.2934702873026462,-1.9780061134264588,cs
image processing,2.863927806307022,-2.473436719613845,cs
image search tool,2.45336218876947,-3.381569108623487,cs
immersive virtual environment,2.355637763003446,-3.51143933612715,cs
implicit euler method,-0.21815310395324763,0.9547923072062136,cs
in-place matrix transposition,1.6436788983426207,0.07963936970289237,cs
independent variable,-4.427395396536023,5.41572042321097,cs
industrial design,6.1002985404624415,-1.7206562285224147,cs
informatics techniques,4.097952130813842,-4.085693431469589,cs
information dimension,3.288945055224097,-2.1782704771696646,cs
information graphics,4.274583183908815,-2.33949211735849,cs
information retrieval,2.5293961059281282,-2.798427005251096,cs
information science,5.469981383573399,-2.2576847532641526,cs
information security,2.103481868148069,-2.448309922540925,cs
information system,2.233714742174554,-2.630351593620405,cs
information technology,4.165837148127066,-3.716514373685304,cs
information theory,5.108613194968548,-2.1853952430377572,cs
input data,1.3995716561767595,-3.4828941719053472,cs
input error,0.2640120405508843,6.70074819467511,cs
input operands,3.0819178261467925,-1.9246525506644283,cs
input sentence,1.1822322629957922,-2.875919059714615,cs
input sequences,2.385016374229944,-2.9192004352177197,cs
input signal,0.10999571424581625,-2.55632911688043,cs
instance-based learning,3.0192021258023947,-3.0608043114867507,cs
integer factorization algorithms,5.194567188321357,1.200678409679072,cs
integrated computational materials engineering,8.111179675210781,-2.4967204524227578,cs
intelligent agent,-5.076494109990382,-3.641426191411001,cs
intelligent agent paradigm,0.9139106396264653,-3.566835436165947,cs
intelligent agents,-4.517103294620416,-3.817298769365607,cs
intelligent machines,-1.8520306262330433,-3.742236793559544,cs
internet protocol suite,6.310735364160744,-1.3111104478052533,cs
internet route objects,6.05583687283222,-0.48378177662005073,cs
internet routing registry,6.889786021813485,-0.07688320526255706,cs
internet service providers,5.711618092272487,-2.120219235606857,cs
interpolative decomposition,1.8337324053406179,1.1608735816591038,cs
inverse matrix,1.157925549004059,5.8386047685873566,cs
ip routing,4.9160056398700105,-0.037663649124500424,cs
ipn design,4.159241953547503,-0.8272450756861287,cs
iterative method,-0.6262614217503447,-1.0631260185765719,cs
javascript computer programming,7.837578503490964,-0.24063281725431726,cs
javascript pseudorandom number generators,7.150031693433251,3.1892001400441847,cs
javascript v8 engine,4.270363671846583,1.2702512376602888,cs
join trees,-1.371480916098915,-1.3137723440173406,cs
k nearest neighbors,-2.6402256829563098,-0.8530997386645474,cs
kargerstein algorithm,2.4382732913345717,0.21594496229325105,cs
kernel density estimation,2.2400493829077717,1.5952893504127548,cs
kernel function,2.1422991717878497,1.5825684113194654,cs
kernel machines,4.261237601405694,2.834772125727308,cs
kernelized learning algorithms,5.051934531780341,0.02397799468883268,cs
known classes,-1.945108921947672,-2.276344832881057,cs
krylov subspace,0.7962884440853596,1.0282290492023218,cs
language model,2.8484514943494137,-1.8764765383924682,cs
language modeling,4.337414615132193,-2.814713507551272,cs
language specification,3.3270594954224166,-3.3927679174636607,cs
las vegas algorithms,3.26669860161418,1.3582587468088563,cs
latent semantic analysis,0.4812390282925075,-0.20512367381235438,cs
layered network architecture,3.9087643443105815,-1.4605796802698863,cs
leaf node,0.4046713209554661,-0.10033065172651599,cs
leaf nodes,-0.1804558528228911,-0.8958245422887462,cs
learning automaton,6.576917884141022,-0.6353908288610602,cs
learning theory,3.4459309842209027,-1.4757265009792662,cs
learning vector quantization,5.169079838694793,-2.124661774238464,cs
least-squares support-vector machine,2.4564638038179547,5.879576793269717,cs
lexicographic code,4.5535170275970325,-0.11401954191001266,cs
lightweight software,-3.4203103672299386,2.3342187758029205,cs
linear algebra,4.699222643695739,1.8400502745305256,cs
linear combination,-4.500157178557611,3.872887870277355,cs
linear dependency,-1.5371574712423082,2.0065975597339363,cs
linear discriminant analysis,1.109947504156616,4.121376727987568,cs
linear equations,1.1074426337487135,2.8178515907417117,cs
linear function,-0.9083045044561205,2.752852546614903,cs
linear programming,0.23374913114026605,2.1473342786219574,cs
linear quadratic gaussian control,4.0475957430946545,1.6250104400446874,cs
linear regularization methods,2.471051072370845,0.7529732054333874,cs
linear system,-2.6333364125436565,1.6780022633586844,cs
linearithmic time,-1.2897334177446396,0.366630114520526,cs
